region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales,Vans,BEV,2010,,7
Belgium,Historical,EV sales,Vans,BEV,2011,,25
Belgium,Historical,EV sales,Vans,BEV,2012,,265
Belgium,Historical,EV sales,Vans,BEV,2013,,108
Belgium,Historical,EV sales,Vans,BEV,2014,,99
Belgium,Historical,EV sales,Vans,BEV,2015,,68
Belgium,Historical,EV sales,Vans,BEV,2016,,144
Belgium,Historical,EV sales,Vans,BEV,2017,,127
Belgium,Historical,EV sales,Vans,PHEV,2017,,1
Belgium,Historical,EV sales,Vans,BEV,2018,,265
Belgium,Historical,EV sales,Vans,PHEV,2018,,2
Belgium,Historical,EV sales,Vans,BEV,2019,,418
Belgium,Historical,EV sales,Vans,BEV,2020,,453
Belgium,Historical,EV sales,Vans,FCEV,2020,,1
Belgium,Historical,EV sales,Vans,PHEV,2020,,26
Canada,Historical,EV sales,Vans,PHEV,2015,,5
Canada,Historical,EV sales,Vans,BEV,2015,,1
Canada,Historical,EV sales,Vans,FCEV,2015,,9
Canada,Historical,EV sales,Vans,BEV,2020,,1575
Canada,Historical,EV sales,Vans,FCEV,2020,,7
Canada,Historical,EV sales,Vans,PHEV,2020,,1432
China,Historical,EV sales,Vans,BEV,2010,,120.69100189208984
China,Historical,EV sales,Vans,BEV,2011,,333.0260009765625
China,Historical,EV sales,Vans,BEV,2012,,522.4580078125
China,Historical,EV sales,Vans,BEV,2013,,550.6599731445312
China,Historical,EV sales,Vans,BEV,2014,,718.3790283203125
China,Historical,EV sales,Vans,BEV,2015,,12463
China,Historical,EV sales,Vans,BEV,2016,,38400
China,Historical,EV sales,Vans,BEV,2017,,67217
China,Historical,EV sales,Vans,BEV,2018,,84206
China,Historical,EV sales,Vans,BEV,2019,,42653
China,Historical,EV sales,Vans,BEV,2020,,35247
China,Historical,EV sales,Vans,PHEV,2020,,4000
Denmark,Historical,EV sales,Vans,BEV,2010,,6
Denmark,Historical,EV sales,Vans,BEV,2011,,23
Denmark,Historical,EV sales,Vans,BEV,2012,,126
Denmark,Historical,EV sales,Vans,BEV,2013,,104
Denmark,Historical,EV sales,Vans,BEV,2014,,47
Denmark,Historical,EV sales,Vans,BEV,2015,,262
Denmark,Historical,EV sales,Vans,PHEV,2015,,85
Denmark,Historical,EV sales,Vans,BEV,2016,,57
Denmark,Historical,EV sales,Vans,PHEV,2016,,81
Denmark,Historical,EV sales,Vans,BEV,2017,,70
Denmark,Historical,EV sales,Vans,PHEV,2017,,24
Denmark,Historical,EV sales,Vans,BEV,2018,,190
Denmark,Historical,EV sales,Vans,PHEV,2018,,31
Denmark,Historical,EV sales,Vans,BEV,2019,,231
Denmark,Historical,EV sales,Vans,PHEV,2019,,34
Denmark,Historical,EV sales,Vans,BEV,2020,,460
Denmark,Historical,EV sales,Vans,PHEV,2020,,164
Finland,Historical,EV sales,Vans,BEV,2017,,44
Finland,Historical,EV sales,Vans,BEV,2018,,55
Finland,Historical,EV sales,Vans,BEV,2019,,58
Finland,Historical,EV sales,Vans,BEV,2020,,129
Finland,Historical,EV sales,Vans,PHEV,2020,,39
France,Historical,EV sales,Vans,BEV,2010,,795
France,Historical,EV sales,Vans,BEV,2011,,1677
France,Historical,EV sales,Vans,BEV,2012,,3645
France,Historical,EV sales,Vans,BEV,2013,,5113
France,Historical,EV sales,Vans,FCEV,2013,,1
France,Historical,EV sales,Vans,BEV,2014,,4485
France,Historical,EV sales,Vans,FCEV,2014,,4
France,Historical,EV sales,Vans,BEV,2015,,4916
France,Historical,EV sales,Vans,FCEV,2015,,53
France,Historical,EV sales,Vans,PHEV,2015,,10
France,Historical,EV sales,Vans,BEV,2016,,5546
France,Historical,EV sales,Vans,FCEV,2016,,99
France,Historical,EV sales,Vans,PHEV,2016,,9
France,Historical,EV sales,Vans,BEV,2017,,6020
France,Historical,EV sales,Vans,FCEV,2017,,25
France,Historical,EV sales,Vans,PHEV,2017,,5
France,Historical,EV sales,Vans,BEV,2018,,8103
France,Historical,EV sales,Vans,FCEV,2018,,92
France,Historical,EV sales,Vans,BEV,2019,,8000
France,Historical,EV sales,Vans,PHEV,2019,,22
France,Historical,EV sales,Vans,BEV,2020,,8792
France,Historical,EV sales,Vans,FCEV,2020,,2
Germany,Historical,EV sales,Vans,BEV,2010,,171
Germany,Historical,EV sales,Vans,FCEV,2010,,2
Germany,Historical,EV sales,Vans,BEV,2011,,282
Germany,Historical,EV sales,Vans,BEV,2012,,949
Germany,Historical,EV sales,Vans,BEV,2013,,595
Germany,Historical,EV sales,Vans,PHEV,2013,,2
Germany,Historical,EV sales,Vans,BEV,2014,,716
Germany,Historical,EV sales,Vans,BEV,2015,,1013
Germany,Historical,EV sales,Vans,PHEV,2015,,2
Germany,Historical,EV sales,Vans,BEV,2016,,2445
Germany,Historical,EV sales,Vans,BEV,2017,,4471
Germany,Historical,EV sales,Vans,BEV,2018,,5294
Germany,Historical,EV sales,Vans,BEV,2019,,5192
Germany,Historical,EV sales,Vans,BEV,2020,,8955
Germany,Historical,EV sales,Vans,FCEV,2020,,3
Germany,Historical,EV sales,Vans,PHEV,2020,,180
Greece,Historical,EV sales,Vans,BEV,2018,,13
Greece,Historical,EV sales,Vans,BEV,2019,,11
Greece,Historical,EV sales,Vans,BEV,2020,,14
Iceland,Historical,EV sales,Vans,BEV,2014,,8
Iceland,Historical,EV sales,Vans,BEV,2015,,9
Iceland,Historical,EV sales,Vans,BEV,2016,,20
Iceland,Historical,EV sales,Vans,BEV,2017,,29
Iceland,Historical,EV sales,Vans,BEV,2018,,47
Iceland,Historical,EV sales,Vans,BEV,2019,,56
Iceland,Historical,EV sales,Vans,PHEV,2019,,8
Iceland,Historical,EV sales,Vans,BEV,2020,,52
Italy,Historical,EV sales,Vans,BEV,2010,,214
Italy,Historical,EV sales,Vans,BEV,2011,,84
Italy,Historical,EV sales,Vans,BEV,2012,,355
Italy,Historical,EV sales,Vans,PHEV,2012,,3
Italy,Historical,EV sales,Vans,BEV,2013,,175
Italy,Historical,EV sales,Vans,PHEV,2013,,1
Italy,Historical,EV sales,Vans,BEV,2014,,272
