region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock,Buses,BEV,2010,,3
Belgium,Historical,EV stock,Buses,BEV,2011,,3
Belgium,Historical,EV stock,Buses,BEV,2012,,3
Belgium,Historical,EV stock,Buses,BEV,2013,,3
Belgium,Historical,EV stock,Buses,BEV,2014,,7
Belgium,Historical,EV stock,Buses,PHEV,2014,,32
Belgium,Historical,EV stock,Buses,BEV,2015,,7
Belgium,Historical,EV stock,Buses,PHEV,2015,,80
Belgium,Historical,EV stock,Buses,BEV,2016,,7
Belgium,Historical,EV stock,Buses,PHEV,2016,,108
Belgium,Historical,EV stock,Buses,BEV,2017,,10
Belgium,Historical,EV stock,Buses,PHEV,2017,,128
Belgium,Historical,EV stock,Buses,BEV,2018,,21
Belgium,Historical,EV stock,Buses,PHEV,2018,,145
Belgium,Historical,EV stock,Buses,BEV,2019,,59
Belgium,Historical,EV stock,Buses,FCEV,2019,,5
Belgium,Historical,EV stock,Buses,PHEV,2019,,156
Belgium,Historical,EV stock,Buses,BEV,2020,,75
Belgium,Historical,EV stock,Buses,FCEV,2020,,5
Belgium,Historical,EV stock,Buses,PHEV,2020,,157
Canada,Historical,EV stock,Buses,BEV,2018,,19
Canada,Historical,EV stock,Buses,BEV,2019,,68
Canada,Historical,EV stock,Buses,BEV,2020,,268
China,Historical,EV stock,Buses,BEV,2010,,1938.8699951171875
China,Historical,EV stock,Buses,BEV,2011,,4060.2099609375
China,Historical,EV stock,Buses,PHEV,2011,,326.3599853515625
China,Historical,EV stock,Buses,BEV,2012,,5852.2099609375
China,Historical,EV stock,Buses,PHEV,2012,,1350.3599853515625
China,Historical,EV stock,Buses,BEV,2013,,7616.41015625
China,Historical,EV stock,Buses,PHEV,2013,,4878.759765625
China,Historical,EV stock,Buses,BEV,2014,,21702.41015625
China,Historical,EV stock,Buses,PHEV,2014,,16846.759765625
China,Historical,EV stock,Buses,BEV,2015,,97853.5703125
China,Historical,EV stock,Buses,FCEV,2015,,10
China,Historical,EV stock,Buses,PHEV,2015,,43334.12109375
China,Historical,EV stock,Buses,BEV,2016,,187479.5625
China,Historical,EV stock,Buses,FCEV,2016,,629
China,Historical,EV stock,Buses,PHEV,2016,,58544.12109375
China,Historical,EV stock,Buses,BEV,2017,,277025.5625
China,Historical,EV stock,Buses,FCEV,2017,,1904
China,Historical,EV stock,Buses,PHEV,2017,,72544.1171875
China,Historical,EV stock,Buses,BEV,2018,,362195.5625
China,Historical,EV stock,Buses,FCEV,2018,,3431
China,Historical,EV stock,Buses,PHEV,2018,,71583.7578125
China,Historical,EV stock,Buses,BEV,2019,,428606.5625
China,Historical,EV stock,Buses,FCEV,2019,,5168
China,Historical,EV stock,Buses,PHEV,2019,,76864.7578125
China,Historical,EV stock,Buses,BEV,2020,,502234.5625
