region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock,Cars,BEV,2011,,49
Australia,Historical,EV stock,Cars,BEV,2012,,222
Australia,Historical,EV stock,Cars,PHEV,2012,,80
Australia,Historical,EV stock,Cars,BEV,2013,,413
Australia,Historical,EV stock,Cars,PHEV,2013,,182
Australia,Historical,EV stock,Cars,BEV,2014,,784
Australia,Historical,EV stock,Cars,PHEV,2014,,1133
Australia,Historical,EV stock,Cars,BEV,2015,,1543
Australia,Historical,EV stock,Cars,PHEV,2015,,2145
Australia,Historical,EV stock,Cars,BEV,2016,,2211
Australia,Historical,EV stock,Cars,PHEV,2016,,2846
Australia,Historical,EV stock,Cars,BEV,2017,,3419
Australia,Historical,EV stock,Cars,PHEV,2017,,3922
Australia,Historical,EV stock,Cars,BEV,2018,,5222
Australia,Historical,EV stock,Cars,PHEV,2018,,5724
Australia,Historical,EV stock,Cars,BEV,2019,,11505
Australia,Historical,EV stock,Cars,PHEV,2019,,8601
Australia,Historical,EV stock,Cars,BEV,2020,,16743
Australia,Historical,EV stock,Cars,PHEV,2020,,9908
Belgium,Historical,EV stock,Cars,BEV,2010,,61
Belgium,Historical,EV stock,Cars,PHEV,2010,,9
Belgium,Historical,EV stock,Cars,BEV,2011,,323
Belgium,Historical,EV stock,Cars,PHEV,2011,,26
Belgium,Historical,EV stock,Cars,BEV,2012,,826
Belgium,Historical,EV stock,Cars,PHEV,2012,,347
Belgium,Historical,EV stock,Cars,BEV,2013,,1205
Belgium,Historical,EV stock,Cars,PHEV,2013,,590
Belgium,Historical,EV stock,Cars,BEV,2014,,2196
Belgium,Historical,EV stock,Cars,FCEV,2014,,1
Belgium,Historical,EV stock,Cars,PHEV,2014,,1544
Belgium,Historical,EV stock,Cars,BEV,2015,,3308
Belgium,Historical,EV stock,Cars,FCEV,2015,,6
Belgium,Historical,EV stock,Cars,PHEV,2015,,3831
Belgium,Historical,EV stock,Cars,BEV,2016,,5186
Belgium,Historical,EV stock,Cars,FCEV,2016,,20
Belgium,Historical,EV stock,Cars,PHEV,2016,,11096
Belgium,Historical,EV stock,Cars,BEV,2017,,7524
Belgium,Historical,EV stock,Cars,FCEV,2017,,31
Belgium,Historical,EV stock,Cars,PHEV,2017,,22974
Belgium,Historical,EV stock,Cars,BEV,2018,,10853
Belgium,Historical,EV stock,Cars,FCEV,2018,,47
Belgium,Historical,EV stock,Cars,PHEV,2018,,32829
Belgium,Historical,EV stock,Cars,BEV,2019,,18660
Belgium,Historical,EV stock,Cars,FCEV,2019,,59
Belgium,Historical,EV stock,Cars,PHEV,2019,,41241
Belgium,Historical,EV stock,Cars,BEV,2020,,31692
