region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock,Trucks,BEV,2010,,2
Belgium,Historical,EV stock,Trucks,BEV,2011,,6
Belgium,Historical,EV stock,Trucks,BEV,2012,,7
Belgium,Historical,EV stock,Trucks,BEV,2013,,7
Belgium,Historical,EV stock,Trucks,BEV,2014,,11
Belgium,Historical,EV stock,Trucks,BEV,2015,,12
Belgium,Historical,EV stock,Trucks,BEV,2016,,13
Belgium,Historical,EV stock,Trucks,BEV,2017,,14
Belgium,Historical,EV stock,Trucks,BEV,2018,,17
Belgium,Historical,EV stock,Trucks,BEV,2019,,17
Belgium,Historical,EV stock,Trucks,BEV,2020,,19
China,Historical,EV stock,Trucks,BEV,2012,,51
China,Historical,EV stock,Trucks,BEV,2013,,363
China,Historical,EV stock,Trucks,BEV,2014,,494
China,Historical,EV stock,Trucks,BEV,2015,,6254
China,Historical,EV stock,Trucks,BEV,2016,,10717
China,Historical,EV stock,Trucks,BEV,2017,,14489
China,Historical,EV stock,Trucks,BEV,2018,,16104
China,Historical,EV stock,Trucks,FCEV,2018,,1334
China,Historical,EV stock,Trucks,BEV,2019,,22057
China,Historical,EV stock,Trucks,FCEV,2019,,3349
China,Historical,EV stock,Trucks,PHEV,2019,,159
China,Historical,EV stock,Trucks,BEV,2020,,28749
China,Historical,EV stock,Trucks,FCEV,2020,,3153
China,Historical,EV stock,Trucks,PHEV,2020,,186
Denmark,Historical,EV stock,Trucks,BEV,2010,,9
Denmark,Historical,EV stock,Trucks,BEV,2011,,10
Denmark,Historical,EV stock,Trucks,BEV,2012,,10
Denmark,Historical,EV stock,Trucks,BEV,2013,,11
Denmark,Historical,EV stock,Trucks,BEV,2014,,11
Denmark,Historical,EV stock,Trucks,BEV,2015,,11
Denmark,Historical,EV stock,Trucks,BEV,2016,,8
Denmark,Historical,EV stock,Trucks,FCEV,2016,,1
Denmark,Historical,EV stock,Trucks,BEV,2017,,8
Denmark,Historical,EV stock,Trucks,FCEV,2017,,1
Denmark,Historical,EV stock,Trucks,BEV,2018,,8
Denmark,Historical,EV stock,Trucks,FCEV,2018,,1
Denmark,Historical,EV stock,Trucks,BEV,2019,,13
Denmark,Historical,EV stock,Trucks,FCEV,2019,,2
Denmark,Historical,EV stock,Trucks,BEV,2020,,28
Denmark,Historical,EV stock,Trucks,FCEV,2020,,4
Finland,Historical,EV stock,Trucks,BEV,2019,,2
Finland,Historical,EV stock,Trucks,BEV,2020,,7
France,Historical,EV stock,Trucks,BEV,2010,,90
France,Historical,EV stock,Trucks,BEV,2011,,100
France,Historical,EV stock,Trucks,BEV,2012,,110
France,Historical,EV stock,Trucks,BEV,2013,,110
France,Historical,EV stock,Trucks,BEV,2014,,120
France,Historical,EV stock,Trucks,BEV,2015,,110
