region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock,Vans,BEV,2010,,62
Belgium,Historical,EV stock,Vans,BEV,2011,,79
Belgium,Historical,EV stock,Vans,BEV,2012,,330
Belgium,Historical,EV stock,Vans,BEV,2013,,430
Belgium,Historical,EV stock,Vans,BEV,2014,,521
Belgium,Historical,EV stock,Vans,BEV,2015,,574
Belgium,Historical,EV stock,Vans,BEV,2016,,690
Belgium,Historical,EV stock,Vans,PHEV,2016,,1
Belgium,Historical,EV stock,Vans,BEV,2017,,776
Belgium,Historical,EV stock,Vans,PHEV,2017,,4
Belgium,Historical,EV stock,Vans,BEV,2018,,1019
Belgium,Historical,EV stock,Vans,PHEV,2018,,7
Belgium,Historical,EV stock,Vans,BEV,2019,,1373
Belgium,Historical,EV stock,Vans,PHEV,2019,,13
Belgium,Historical,EV stock,Vans,BEV,2020,,1778
Belgium,Historical,EV stock,Vans,FCEV,2020,,1
Belgium,Historical,EV stock,Vans,PHEV,2020,,50
Canada,Historical,EV stock,Vans,FCEV,2014,,9
Canada,Historical,EV stock,Vans,FCEV,2015,,9
Canada,Historical,EV stock,Vans,PHEV,2015,,5
Canada,Historical,EV stock,Vans,PHEV,2016,,5
Canada,Historical,EV stock,Vans,PHEV,2017,,5
Canada,Historical,EV stock,Vans,PHEV,2018,,5
Canada,Historical,EV stock,Vans,PHEV,2019,,5
Canada,Historical,EV stock,Vans,BEV,2019,,0
Canada,Historical,EV stock,Vans,BEV,2020,,1575
Canada,Historical,EV stock,Vans,FCEV,2020,,7
Canada,Historical,EV stock,Vans,PHEV,2020,,1437
China,Historical,EV stock,Vans,BEV,2010,,400
China,Historical,EV stock,Vans,BEV,2011,,700
China,Historical,EV stock,Vans,BEV,2012,,1200
China,Historical,EV stock,Vans,BEV,2013,,1800
China,Historical,EV stock,Vans,BEV,2014,,2500
China,Historical,EV stock,Vans,BEV,2015,,14963
China,Historical,EV stock,Vans,PHEV,2015,,17
China,Historical,EV stock,Vans,BEV,2016,,53363
China,Historical,EV stock,Vans,PHEV,2016,,17
China,Historical,EV stock,Vans,BEV,2017,,120580
China,Historical,EV stock,Vans,PHEV,2017,,17
China,Historical,EV stock,Vans,BEV,2018,,204786
China,Historical,EV stock,Vans,PHEV,2018,,17
China,Historical,EV stock,Vans,BEV,2019,,247439
China,Historical,EV stock,Vans,PHEV,2019,,17
China,Historical,EV stock,Vans,BEV,2020,,247439
China,Historical,EV stock,Vans,PHEV,2020,,77
Denmark,Historical,EV stock,Vans,BEV,2010,,6
Denmark,Historical,EV stock,Vans,BEV,2011,,29
Denmark,Historical,EV stock,Vans,BEV,2012,,155
Denmark,Historical,EV stock,Vans,PHEV,2012,,8
Denmark,Historical,EV stock,Vans,BEV,2013,,259
Denmark,Historical,EV stock,Vans,PHEV,2013,,10
Denmark,Historical,EV stock,Vans,BEV,2014,,306
Denmark,Historical,EV stock,Vans,PHEV,2014,,11
Denmark,Historical,EV stock,Vans,BEV,2015,,568
Denmark,Historical,EV stock,Vans,PHEV,2015,,103
Denmark,Historical,EV stock,Vans,BEV,2016,,623
Denmark,Historical,EV stock,Vans,PHEV,2016,,103
Denmark,Historical,EV stock,Vans,BEV,2017,,623
Denmark,Historical,EV stock,Vans,PHEV,2017,,103
